Time	Node	FaceId	FaceDescr	Type	Packets		Kilobytes	PacketRaw	KilobytesRaw
0.5	banda-aceh	1	internal://	InInterests	0	0	0	0
0.5	banda-aceh	1	internal://	OutInterests	0	0	0	0
0.5	banda-aceh	1	internal://	InData		0	0	0	0
0.5	banda-aceh	1	internal://	OutData		0	0	0	0
0.5	banda-aceh	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	banda-aceh	1	internal://	InTimedOutInterests	0	0	0	0
0.5	banda-aceh	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	banda-aceh	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	banda-aceh	256	netDeviceFace://	InInterests	80	2.03125	50	1.26953
0.5	banda-aceh	256	netDeviceFace://	OutInterests	0	0	0	0
0.5	banda-aceh	256	netDeviceFace://	InData		0	0	0	0
0.5	banda-aceh	256	netDeviceFace://	OutData		80	82.7344	50	51.709
0.5	banda-aceh	256	netDeviceFace://	InSatisfiedInterests	80	0	50	0
0.5	banda-aceh	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	banda-aceh	256	netDeviceFace://	OutSatisfiedInterests	0	0	0	0
0.5	banda-aceh	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	banda-aceh	257	netDeviceFace://	InInterests	78.4	1.99063	49	1.24414
0.5	banda-aceh	257	netDeviceFace://	OutInterests	0	0	0	0
0.5	banda-aceh	257	netDeviceFace://	InData		0	0	0	0
0.5	banda-aceh	257	netDeviceFace://	OutData		78.4	81.0797	49	50.6748
0.5	banda-aceh	257	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	banda-aceh	257	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	banda-aceh	257	netDeviceFace://	OutSatisfiedInterests	0	0	0	0
0.5	banda-aceh	257	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	banda-aceh	258	ndnFace://0	InInterests	6.4	0	4	0
0.5	banda-aceh	258	ndnFace://0	OutInterests	0	0	0	0
0.5	banda-aceh	258	ndnFace://0	InData		0	0	0	0
0.5	banda-aceh	258	ndnFace://0	OutData		0	0	0	0
0.5	banda-aceh	258	ndnFace://0	InSatisfiedInterests	3.2	0	2	0
0.5	banda-aceh	258	ndnFace://0	InTimedOutInterests	0	0	0	0
0.5	banda-aceh	258	ndnFace://0	OutSatisfiedInterests	0	0	0	0
0.5	banda-aceh	258	ndnFace://0	OutTimedOutInterests	0	0	0	0
0.5	banda-aceh	259	appFace://		InInterests	0	0	0	0
0.5	banda-aceh	259	appFace://		OutInterests	80	2.03125	50	1.26953
0.5	banda-aceh	259	appFace://		InData		80	82.7344	50	51.709
0.5	banda-aceh	259	appFace://		OutData		0	0	0	0
0.5	banda-aceh	259	appFace://		InSatisfiedInterests	0	0	0	0
0.5	banda-aceh	259	appFace://		InTimedOutInterests	0	0	0	0
0.5	banda-aceh	259	appFace://		OutSatisfiedInterests	80	0	50	0
0.5	banda-aceh	259	appFace://		OutTimedOutInterests	0	0	0	0
0.5	banda-aceh	-1	all	SatisfiedInterests	163.2	0	102	0
0.5	banda-aceh	-1	all	TimedOutInterests	0	0	0	0
0.5	medan	1	internal://	InInterests	0	0	0	0
0.5	medan	1	internal://	OutInterests	0	0	0	0
